category_name,property_type,building_size,land_size,preferred_size,listing_agency,price,location_number,address,address_1,city,state,zip_code,phone,product_depth,bedroom_count,bathroom_count,parking_count,RunDate
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,,,Professionals - DARWIN CITY,280000.0,139393067,"12 51 Knuckey Street, Darwin City, NT 0800",12 51 Knuckey Street,Darwin City,NT,800,08 8941 8289,premiere,1.0,1.0,1.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,,,Real Estate Central - DARWIN CITY,,139373983,"1/6 Foelsche Street, Darwin City, NT 0800",1/6 Foelsche Street,Darwin City,NT,800,08 8943 3000,premiere,3.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,173.0,,173.0,Elders Real Estate - Darwin,439000.0,139363187,"16/14 Dashwood Place, Darwin City, NT 0800",16/14 Dashwood Place,Darwin City,NT,800,08 8946 0500,premiere,2.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",House,236.0,,236.0,Knight Frank (NT) - Darwin,775000.0,139356543,"406/130 Esplanade, Darwin City, NT 0800",406/130 Esplanade,Darwin City,NT,800,08 8982 2500,premiere,3.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,181.0,,181.0,Get Realty - PALMERSTON CITY,625000.0,139349347,"2403/43E Knuckey Street, Darwin City, NT 0800",2403/43E Knuckey Street,Darwin City,NT,800,0416175735,premiere,3.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,,,,Territory Real Estate - Darwin,599000.0,139339003,"111/19 Kitchener Drive, Darwin City, NT 0800",111/19 Kitchener Drive,Darwin City,NT,800,0889855678,premiere,2.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,69.0,,69.0,Knight Frank (NT) - Darwin,490000.0,139336003,"6604/7 Anchorage Court, Darwin City, NT 0800",6604/7 Anchorage Court,Darwin City,NT,800,08 8982 2500,premiere,1.0,1.0,1.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,62.0,,62.0,Nick Mousellis Real Estate - Eview Group Member,337500.0,139319539,"1706/43B Knuckey Street, Darwin City, NT 0800",1706/43B Knuckey Street,Darwin City,NT,800,0411724000,premiere,1.0,1.0,0.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,,,,Elders Real Estate - Darwin,,139319111,"63/21 Cavenagh Street, Darwin City, NT 0800",63/21 Cavenagh Street,Darwin City,NT,800,08 8946 0500,premiere,1.0,1.0,0.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",House,138.0,,138.0,Call2View Real Estate - Palmerston,439000.0,139318927,"24/8 Knuckey Street, Darwin City, NT 0800",24/8 Knuckey Street,Darwin City,NT,800,08 8932 8858,premiere,2.0,2.0,1.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,,,Real Estate Central Projects - Darwin,,139313595,"8/12 Dashwood Place, Darwin City, NT 0800",8/12 Dashwood Place,Darwin City,NT,800,08 8943 3000,premiere,3.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,155.0,,155.0,All Real Estate NT,440000.0,139312507,"2/24 Harry Chan Avenue, Darwin City, NT 0800",2/24 Harry Chan Avenue,Darwin City,NT,800,0419 592 414,midtier,2.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,114.0,,114.0,Professionals - DARWIN CITY,640000.0,139299807,"116/19B Kitchener Drive, Darwin City, NT 0800",116/19B Kitchener Drive,Darwin City,NT,800,08 8941 8289,premiere,2.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,93.0,,Knight Frank (NT) - Darwin,500000.0,139287567,"126/19 Kitchener Drive, Darwin City, NT 0800",126/19 Kitchener Drive,Darwin City,NT,800,08 8982 2500,premiere,1.0,1.0,1.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,,53.0,53.0,Absolute Real Estate NT - Darwin,305000.0,139278451,"613/6 Carey Street, Darwin City, NT 0800",613/6 Carey Street,Darwin City,NT,800,08 8930 6600,premiere,1.0,1.0,1.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,,,,Absolute Real Estate NT - Darwin,295000.0,139278075,"313/6 Carey Street, Darwin City, NT 0800",313/6 Carey Street,Darwin City,NT,800,08 8930 6600,premiere,1.0,1.0,1.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,340.0,340.0,340.0,Colliers International - Darwin,795000.0,139277147,"35/24 Harry Chan Avenue, Darwin City, NT 0800",35/24 Harry Chan Avenue,Darwin City,NT,800,08 8997 0888,premiere,3.0,3.0,4.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,,236.0,236.0,Core Realty NT - RAPID CREEK,950000.0,139267215,"424/130 Esplanade, Darwin City, NT 0800",424/130 Esplanade,Darwin City,NT,800,0450 473 710,premiere,3.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",House,,,,Ray White - NIGHTCLIFF,485000.0,139233515,"1109/102 Esplanade, Darwin City, NT 0800",1109/102 Esplanade,Darwin City,NT,800,08 8982 2403,premiere,2.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,51.0,,51.0,Property Shop - Darwin,250000.0,131091530,"Unit 55/79 Mitchell Street, Darwin City, NT 0800",Unit 55/79 Mitchell Street,Darwin City,NT,800,08 8981 5000,premiere,1.0,1.0,1.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,,,Darwin Residential and Commercial Real Estate Pty Ltd - CASUARINA,549000.0,139203271,"1006/102 Esplanade, Darwin City, NT 0800",1006/102 Esplanade,Darwin City,NT,800,08 8945 9372,premiere,2.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,48.0,,48.0,Knight Frank (NT) - Darwin,299000.0,139202891,"18/110 Esplanade, Darwin City, NT 0800",18/110 Esplanade,Darwin City,NT,800,08 8982 2500,premiere,1.0,1.0,1.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,146.0,,Elaine Mills Property Management - COOLALINGA,395000.0,139201043,"122.21 Cavenagh St, Darwin City, NT 0800",122.21 Cavenagh St,Darwin City,NT,800,08 8983 1800,premiere,3.0,1.0,1.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,,,,Raine & Horne - Darwin,,139196447,"131/21 Cavenagh Street, Darwin City, NT 0800",131/21 Cavenagh Street,Darwin City,NT,800,08 8941 8941,premiere,1.0,1.0,1.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,,127.0,127.0,LJ Hooker Darwin -   ,475000.0,139195495,"11/12 Mclachlan Street, Darwin City, NT 0800",11/12 Mclachlan Street,Darwin City,NT,800,08 8924 0900,premiere,2.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,140.0,,140.0,Top End Realty International - NIGHTCLIFF,,139179627,"702/29 Daly Street, Darwin City, NT 0800",702/29 Daly Street,Darwin City,NT,800,08 8948 5607,premiere,2.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",House,,,,Professionals - DARWIN CITY,,139179851,"9 117 Mitchell Street, Darwin City, NT 0800",9 117 Mitchell Street,Darwin City,NT,800,08 8941 8289,premiere,2.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,81.0,,81.0,Knight Frank (NT) - Darwin,465000.0,139167095,"5102/5 Anchorage Court, Darwin City, NT 0800",5102/5 Anchorage Court,Darwin City,NT,800,08 8982 2500,premiere,1.0,1.0,1.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,,,Real Estate Central Projects - Darwin,600000.0,139131591,"501/102 Esplanade, Darwin City, NT 0800",501/102 Esplanade,Darwin City,NT,800,08 8943 3000,premiere,3.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,235.0,,235.0,Knight Frank (NT) - Darwin,980000.0,139128107,"326/130 Esplanade, Darwin City, NT 0800",326/130 Esplanade,Darwin City,NT,800,08 8982 2500,premiere,3.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,241.0,,First National Real Estate O'Donoghues - Darwin,1050000.0,139127399,"221/130 Esplanade, Darwin City, NT 0800",221/130 Esplanade,Darwin City,NT,800,08 8942 8942,premiere,3.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,181.0,,Pacific Property Darwin,,139110247,"1/2 Lindsay Street, Darwin City, NT 0800",1/2 Lindsay Street,Darwin City,NT,800,0433038633,premiere,3.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",House,81.0,81.0,81.0,Ray White City (NT) -    ,450000.0,139095611,"6607/7 Anchorage Court, Darwin City, NT 0800",6607/7 Anchorage Court,Darwin City,NT,800,08 8943 3500,premiere,1.0,1.0,1.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,,,Real Estate Central - DARWIN CITY,749000.0,139091675,"17/9 Esplanade, Darwin City, NT 0800",17/9 Esplanade,Darwin City,NT,800,08 8943 3000,premiere,3.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,238.0,,All About Real Estate NT - DARWIN CITY,,139072451,"103/130 Esplanade, Darwin City, NT 0800",103/130 Esplanade,Darwin City,NT,800,0438 404 848,premiere,3.0,3.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,,,,Real Estate NT by George Pikos - FANNIE BAY,289000.0,139050507,"302/6 Briggs St, Darwin City, NT 0800",302/6 Briggs St,Darwin City,NT,800,08 8941 9959,premiere,1.0,1.0,1.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,,,Ausway Group,490000.0,139047935,"14/130 Smith street, Darwin City, NT 0800",14/130 Smith street,Darwin City,NT,800,0451125286,premiere,2.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,,,Real Estate Central - DARWIN CITY,,139036599,"5/44 Mclachlan Street, Darwin City, NT 0800",5/44 Mclachlan Street,Darwin City,NT,800,08 8943 3000,premiere,3.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,,,,Habitat Real Estate - THE GARDENS,565000.0,139027019,"703/29 Daly Street, Darwin City, NT 0800",703/29 Daly Street,Darwin City,NT,800,08 8981 0080,premiere,2.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,130.0,,130.0,Call2View Real Estate - Palmerston,399000.0,139024171,"10/24 Harvey Street, Darwin City, NT 0800",10/24 Harvey Street,Darwin City,NT,800,08 8932 8858,premiere,2.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,192.0,,First National Real Estate O'Donoghues - Darwin,469000.0,139023195,"3/107 Woods Street, Darwin City, NT 0800",3/107 Woods Street,Darwin City,NT,800,08 8942 8942,premiere,3.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,253.0,,First National Real Estate O'Donoghues - Darwin,649000.0,139012015,"10/3 Harvey Street, Darwin City, NT 0800",10/3 Harvey Street,Darwin City,NT,800,08 8942 8942,premiere,4.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,,,,Territory Real Estate - Darwin,499000.0,138985619,"313b/19 Kitchener Drive, Darwin City, NT 0800",313b/19 Kitchener Drive,Darwin City,NT,800,0889855678,feature,1.0,1.0,1.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,,,Professionals - DARWIN CITY,400000.0,138982163,"205/12 Harvey Street, Darwin City, NT 0800",205/12 Harvey Street,Darwin City,NT,800,08 8941 8289,premiere,2.0,2.0,1.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,260.0,,First National Real Estate O'Donoghues - Darwin,800000.0,138965203,"13/99 Gardens Road, Darwin City, NT 0800",13/99 Gardens Road,Darwin City,NT,800,08 8942 8942,premiere,3.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,93.0,,93.0,Raine & Horne - Darwin,,138959991,"23(805)/24 Litchfield Street, Darwin City, NT 0800",23(805)/24 Litchfield Street,Darwin City,NT,800,08 8941 8941,premiere,1.0,1.0,1.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,53.0,,53.0,Renee's Realty NT - DURACK,299000.0,138947235,"512/6 Carey Street, Darwin City, NT 0800",512/6 Carey Street,Darwin City,NT,800,0417 718 149,premiere,1.0,1.0,1.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,,74.0,74.0,Property Now - MOOLOOLABA,580000.0,138918695,"19 KITCHENER DRIVE, Darwin City, NT 0800",19 KITCHENER DRIVE,Darwin City,NT,800,1300 815 051 ,standard,1.0,1.0,1.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,138.0,,138.0,Raine & Horne - Darwin,375000.0,138917719,"21/24 Harvey Street, Darwin City, NT 0800",21/24 Harvey Street,Darwin City,NT,800,08 8941 8941,premiere,2.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,,,North Property NT - STUART PARK,489000.0,138898599,"803/24 Litchfield Street, Darwin City, NT 0800",803/24 Litchfield Street,Darwin City,NT,800,08 898 11088 ,feature,2.0,2.0,1.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,,52.0,52.0,Elders Real Estate - Darwin,195000.0,138882163,"38/117 Smith Street, Darwin City, NT 0800",38/117 Smith Street,Darwin City,NT,800,08 8946 0500,premiere,1.0,1.0,1.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,101.0,,LJ Hooker Darwin -   ,505000.0,138876263,"708/102 Esplanade, Darwin City, NT 0800",708/102 Esplanade,Darwin City,NT,800,08 8924 0900,premiere,2.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,,,Ausway Group,325000.0,138865099,"1004/3  Gardiner street, Darwin City, NT 0800",1004/3  Gardiner street,Darwin City,NT,800,0451125286,feature,2.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,,,No Agent Property - BRIGHTON EAST,539000.0,138863175,"1411/33 Woods Street, Darwin City, NT 0800",1411/33 Woods Street,Darwin City,NT,800,1300 850 855,standard,2.0,2.0,1.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,,,Piening Property Sales - COOLALINGA,180000.0,138861435,"106/21 Cavenagh Street, Darwin City, NT 0800",106/21 Cavenagh Street,Darwin City,NT,800,0429826650,feature,1.0,1.0,0.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,198.0,,198.0,Raine & Horne - Darwin,,138830959,"36/96 Woods Street, Darwin City, NT 0800",36/96 Woods Street,Darwin City,NT,800,08 8941 8941,premiere,3.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,33.0,,33.0,Property Now - MOOLOOLABA,145000.0,138798511,"UNIT 51/21 CAVENAGH STREET, Darwin City, NT 0800",UNIT 51/21 CAVENAGH STREET,Darwin City,NT,800,1300 815 051 ,standard,1.0,1.0,0.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,,,Ausway Group,215000.0,138784347,"309/3  Gardiner street, Darwin City, NT 0800",309/3  Gardiner street,Darwin City,NT,800,0451125286,feature,1.0,1.0,1.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,,,@realty - National Head Office Australia,450000.0,138760927,"607/31 Woods Street, Darwin City, NT 0800",607/31 Woods Street,Darwin City,NT,800,1300 299 377,standard,2.0,2.0,1.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,255.0,,255.0,David Booth Real Estate Pty Ltd - Darwin,865000.0,138754883,"181/8 Gardiner Street, Darwin City, NT 0800",181/8 Gardiner Street,Darwin City,NT,800,0418 892 861,standard,3.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,120.0,,Elders Real Estate - Darwin,400000.0,138748811,"11/27 McMinn Street, Darwin City, NT 0800",11/27 McMinn Street,Darwin City,NT,800,08 8946 0500,premiere,2.0,2.0,1.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,,154.0,154.0,LJ Hooker Darwin -   ,369000.0,138732019,"15/4 McMinn Street, Darwin City, NT 0800",15/4 McMinn Street,Darwin City,NT,800,08 8924 0900,premiere,2.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,66.0,,66.0,Knight Frank (NT) - Darwin,350000.0,138713867,"610/79 Smith Street, Darwin City, NT 0800",610/79 Smith Street,Darwin City,NT,800,08 8982 2500,feature,1.0,1.0,1.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,,,,Real Estate Central - DARWIN CITY,549000.0,138708715,"19/96 Woods Street, Darwin City, NT 0800",19/96 Woods Street,Darwin City,NT,800,08 8943 3000,premiere,3.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,221.0,,First National Real Estate O'Donoghues - Darwin,539000.0,138706855,"609/31 Woods Street, Darwin City, NT 0800",609/31 Woods Street,Darwin City,NT,800,08 8942 8942,standard,2.0,2.0,1.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,83.0,,83.0,Raine & Horne - Darwin,,138706143,"611/43B Knuckey Street, Darwin City, NT 0800",611/43B Knuckey Street,Darwin City,NT,800,08 8941 8941,premiere,1.0,1.0,0.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,110.0,,110.0,Elders Real Estate - Darwin,490000.0,138702567,"1109/31 Woods Street, Darwin City, NT 0800",1109/31 Woods Street,Darwin City,NT,800,08 8946 0500,premiere,2.0,2.0,1.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,,,Ausway Group,209000.0,138693067,"508/3 Gardiner street, Darwin City, NT 0800",508/3 Gardiner street,Darwin City,NT,800,0451125286,feature,1.0,1.0,1.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,158.0,,Ray White Bayside - FANNIE BAY,420000.0,138683031,"9/144 Smith Street, Darwin City, NT 0800",9/144 Smith Street,Darwin City,NT,800,08 8986 7131,premiere,2.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,150.0,,150.0,Raine & Horne - Darwin,,135645930,"34/108 Mitchell Street, Darwin City, NT 0800",34/108 Mitchell Street,Darwin City,NT,800,08 8941 8941,standard,2.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,,153.0,153.0,Real Estate Central Projects - DARWIN,510000.0,138681171,"601/12 Harvey Street, Darwin City, NT 0800",601/12 Harvey Street,Darwin City,NT,800,08 8943 3066,standard,3.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,,,,Real Estate Central Projects - Darwin,,138681011,"501/12 Harvey Street, Darwin City, NT 0800",501/12 Harvey Street,Darwin City,NT,800,08 8943 3000,premiere,3.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,,,,Go Wise - WOOLNER,535000.0,138659831,"19/3 Manton Street, Darwin City, NT 0800",19/3 Manton Street,Darwin City,NT,800,08 8942 1200,premiere,2.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,,66.0,66.0,North Property NT - STUART PARK,335000.0,138653575,"304/79 Smith Street, Darwin City, NT 0800",304/79 Smith Street,Darwin City,NT,800,08 898 11088 ,feature,1.0,1.0,1.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,153.0,,153.0,Real Estate Central - DARWIN CITY,,138652707,"2003/43E Knuckey Street, Darwin City, NT 0800",2003/43E Knuckey Street,Darwin City,NT,800,08 8943 3000,premiere,2.0,2.0,1.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,,,Professionals - DARWIN CITY,850000.0,138650195,"39/144 Smith Street, Darwin City, NT 0800",39/144 Smith Street,Darwin City,NT,800,08 8941 8289,feature,4.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,,,Professionals - DARWIN CITY,510000.0,138649539,"701/12 Harvey Street, Darwin City, NT 0800",701/12 Harvey Street,Darwin City,NT,800,08 8941 8289,feature,3.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,,242.0,242.0,Elders Real Estate - Darwin,1300000.0,138611055,"433/130 Esplanade, Darwin City, NT 0800",433/130 Esplanade,Darwin City,NT,800,08 8946 0500,premiere,3.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,80.0,92.0,80.0,Nick Mousellis Real Estate - Eview Group Member,580000.0,138568447,"6601/7 Anchorage Court, Darwin City, NT 0800",6601/7 Anchorage Court,Darwin City,NT,800,0411724000,premiere,2.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,,,Professionals - DARWIN CITY,470000.0,138491115,"109/12 Harvey Street, Darwin City, NT 0800",109/12 Harvey Street,Darwin City,NT,800,08 8941 8289,feature,3.0,2.0,1.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,117.0,,First National Real Estate O'Donoghues - Darwin,539000.0,138490143,"1607/31 Woods Street, Darwin City, NT 0800",1607/31 Woods Street,Darwin City,NT,800,08 8942 8942,feature,2.0,2.0,1.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,,,,LJ Hooker Darwin -   ,519000.0,138483943,"709/102 The Esplanade, Darwin City, NT 0800",709/102 The Esplanade,Darwin City,NT,800,08 8924 0900,premiere,2.0,2.0,2.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,,50.0,50.0,LJ Hooker Darwin -   ,219000.0,138466843,"512/5 Gardiner Street, Darwin City, NT 0800",512/5 Gardiner Street,Darwin City,NT,800,08 8924 0900,premiere,1.0,1.0,1.0,2022-05-27 15:54:05
"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,,,Ausway Group,235000.0,138450183,"414/3  Gardiner street, Darwin City, NT 0800",414/3  Gardiner street,Darwin City,NT,800,0451125286,feature,1.0,1.0,1.0,2022-05-27 15:54:05
